Year,Consumption(year)
2021,219078571
2022,220775277
2023,218547710
2024,220865843
2025,222209102
2026,215175944
2027,219510813
2028,218787081
2029,223843015
2030,219936842
2031,224695579
2032,219850329
2033,218562287
2034,217967599
2035,220453232
2036,225275084
2037,222435155
2038,217927174
2039,216536124
2040,223182044
2041,216147193
2042,218064285
2043,219830283
2044,213946328
2045,218516568
2046,216867613
2047,214595880
2048,214533293
2049,222674773
2050,221983516
2051,220388275
2052,221545527
2053,218594196
2054,214928387
2055,222511229
2056,220717363
2057,218635809
2058,215035995
2059,221942133
2060,219100424
2061,218953172
2062,217715125
2063,215641868
2064,215375823
2065,220567357
2066,217623815
2067,217048549
2068,220772834
2069,215960710
2070,215529599
2071,214024394
2072,212289764
2073,209676971
2074,213610440
2075,215522932
2076,211527758
2077,214132190
2078,217133900
2079,213775054
2080,215023525
2081,217350981
2082,217965240
2083,214291557
2084,213760219
2085,213287800
2086,216057135
2087,214999092
2088,214092841
2089,214364297
2090,213510333
2091,208043926
2092,210677564
2093,214152912
2094,216616390
2095,210247118
2096,207295016
2097,211467022
2098,209466781
2099,209479263
2099,209479263
