ら戳,虫基(じ/ミよそへ),犁Μ(货),礟基(じ/ミよそへ),ㄏノ秖(ミよそへ),を,る,るА放,る砰稰А放
2013/2/1,21.07,3.88,20.45,18438538.21,11.43189369,2,18.67410714,19.1893443
2013/3/1,21.5,4.29,20.88,19946651.16,12.36692372,3,19.75806452,20.42882258
2013/4/1,21.5,4.28,20.88,19885426.36,12.32896434,4,21.10833333,22.54162221
2013/5/1,21.5,3.83,20.88,17833178.29,11.05657054,5,25.91370968,28.80408265
2013/6/1,20.86,2.85,20.24,13675998.72,8.479119207,6,29.25916667,33.0131209
2013/7/1,20.86,3.06,20.24,14670501.76,9.09571109,7,29.72016129,33.34715787
2013/8/1,20.86,3.2,20.24,15324640.46,9.501277085,8,29.59677419,33.33024929
2013/9/1,20.86,2.98,20.24,14287104.51,8.858004794,9,27.92316092,30.44148641
2013/10/1,20.86,3.38,20.24,16215100.67,10.05336242,10,24.17580645,25.70597673
2013/11/1,21.39,3.88,20.77,18162147.42,11.2605314,11,21.31666667,21.95390411
2013/12/1,20.96,4.79,20.34,22849793.26,14.16687182,12,17.50833333,17.03610498
2014/1/1,20.96,4.5,20.34,21449188.93,13.29849714,1,16.76612903,16.16895375
2014/2/1,21.38,4.25,20.76,19863205.49,12.3151874,2,16.42321429,16.33680477
2014/3/1,21.81,4.59,21.19,21056396.15,13.05496561,3,18.79516129,19.09989825
2014/4/1,21.53,3.91,20.91,18181390.31,11.27246199,4,22.28416667,23.57560742
2014/5/1,21.36,3.82,20.74,17869600.5,11.07915231,5,25.06370968,27.95337766
2014/6/1,21.23,3.09,20.61,14570387.82,9.033640446,6,27.93833333,31.69212812
2014/7/1,21.43,3.23,20.81,15051641,9.332017421,7,30.53870968,34.25076117
2014/8/1,21.43,3.18,20.81,14825944.94,9.192085861,8,30.15564516,33.9404303
2014/9/1,21.2,2.91,20.58,13711855.35,8.501350314,9,29.66,32.87353238
2014/10/1,20.91,3.39,20.29,16234911.53,10.06564515,10,24.69596774,26.11861223
2014/11/1,20.65,3.66,20.03,17711864.41,10.98135593,11,22.20166667,23.33609674
2014/12/1,19.18,4.47,18.56,23281369.48,14.43444908,12,16.39919355,15.79359806
2015/1/1,17.14,3.77,16.52,21995332.56,13.63710618,1,16.54435484,15.95179283
2015/2/1,15.96,3.32,15.34,20802005.01,12.89724311,2,17.075,17.03106505
2015/3/1,15.96,3.5,15.34,21929824.56,13.59649123,3,18.90753615,19.60365504
2015/4/1,15.96,3.09,15.34,19360902.26,12.0037594,4,22.5925,24.12080203
2015/5/1,14.93,2.85,14.31,19089082.38,11.83523108,5,26.10080645,29.10578985
2015/6/1,14.2,2.23,13.58,15704225.35,9.736619718,6,30.19090849,34.18529301
2015/7/1,14.2,2.27,13.58,15985915.49,9.911267606,7,30.12903226,33.7132747
2015/8/1,13.89,2.25,13.27,16198704.1,10.04319654,8,28.67419355,32.12450662
2015/9/1,13.3,2.14,12.68,16090225.56,9.97593985,9,27.4575,30.34645008
2015/10/1,13.3,2.29,12.68,17218045.11,10.67518797,10,25.28322581,27.32756451
2015/11/1,12.81,2.29,12.19,17876658.86,11.08352849,11,23.592,25.23739239
