time,stno,year,month,PS01,PS02,PS03,PS04,PS05,PS06,PS07,PS08,PS09,PS10,TX01,TX02,TX03,TX04,TX05,TX06,TX07,TX08,TX09,TX10,TX11,TX12,WD01,WD02,WD06,WD07,WD08,WD03,WD04,WD05,PP01,PP02,PP03,PP04,PP05,PP06,PP07,PP08,VP01,VP02,VP03,VP04,VP05,RH01,RH02,RH03,RH04,RH05,EP01,EP02,EP03,EP04,EP05,EP06,CD01,SS01,SS02,GR01,GR02,GR03,DY01,DY02,DY03,DY04,DY05,DY06,DY07,DY08,DY09,DY10,DY11,DY12,DY13,DY14,DY15,DY16,DY17,DY18,DY19,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,UV01,UV02,UV03
201101,466920,2011,1,1022.2,1023.0,1029.6,310859,1013.7,141339,1030.4,310859,1014.5,141339,13.7,10.7,-9999,20.9,141252,7.9,160813,15.8,11.9,3.9,7.7,180000,3.0,90,8.3,80.0,221113,15.2,80,221358,71.9,227.2,1.5,111505,4.0,111446,22.0,120000,13.1,20.4,141255,7.3,10001,83,54,11238,97,111832,-9999,-9999,-9999,30.4,2.7,10000,9.4,17.1,5.2,103.71,2.56,181100,1,0,0,0,7,0,25,13,2,0,0,20,0,0,0,8,23,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201102,466920,2011,2,1017.0,1017.8,1025.8,142212,1006.1,81418,1026.6,142212,1006.8,81418,16.9,12.8,-9999,28.0,271253,10.2,141249,20.3,14.5,5.8,12.4,60000,2.3,90,8.3,90.0,51527,14.7,80,51520,68.0,122.7,3.0,191034,6.0,191024,35.3,190000,14.9,22.0,250933,9.4,120750,78,43,61621,97,201141,-9999,-9999,-9999,51.6,4.6,270000,7.8,87.8,27.9,209.8,3.0,281300,0,0,0,0,0,0,14,8,2,1,0,12,0,1,5,7,15,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201103,466920,2011,3,1019.9,1020.7,1026.9,160804,1008.0,201513,1027.7,160804,1008.7,201513,16.2,11.4,-9999,30.7,201430,10.4,280403,19.2,13.7,5.5,12.7,200000,3.3,80,8.6,90.0,171334,17.3,80,170929,119.1,117.8,2.0,70049,8.5,70332,45.0,270000,13.8,27.4,211047,8.0,161935,74,35,291435,99,120752,-9999,-9999,-9999,73.9,5.4,290000,9.1,55.0,14.8,203.7,3.0,291300,0,0,1,0,0,0,12,7,5,1,0,17,0,0,2,7,22,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201104,466920,2011,4,1013.8,1014.6,1022.4,51008,1003.6,271424,1023.2,51008,1004.3,271424,21.7,15.2,-9999,34.4,271247,13.7,41907,26.5,18.1,8.4,17.0,240000,2.5,80,9.0,80.0,91225,16.9,70,190807,27.4,53.4,2.5,171246,7.0,171243,13.2,170000,17.6,27.1,270940,6.2,241832,68,18,241647,95,180426,-9999,-9999,-9999,100.1,6.6,240000,6.5,153.1,40.4,405.74,3.0,241200,0,4,4,0,0,7,7,5,1,0,0,4,0,0,11,14,5,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201105,466920,2011,5,1008.9,1009.7,1015.4,142104,1000.9,111528,1016.2,142104,1001.6,111528,24.8,20.6,-9999,36.1,111232,17.9,290441,28.7,21.9,6.8,10.9,310000,2.3,80,9.3,80.0,261337,16.2,90,272357,222.0,159.3,10.5,130144,23.5,130137,54.0,160000,24.3,35.2,121036,16.4,291744,78,47,111344,98,170943,-9999,-9999,-9999,82.0,5.9,90000,8.1,94.2,22.7,330.06,3.02,221100,0,15,13,3,0,25,18,14,6,4,0,8,1,0,5,10,16,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201106,466920,2011,6,1005.4,1006.1,1011.1,292152,991.3,250335,1011.8,292152,992.0,250335,29.0,23.7,-9999,36.2,71151,23.8,30353,34.1,25.8,8.3,10.8,90000,1.7,170,8.2,80.0,241337,18.3,270,252217,284.6,65.8,13.5,281457,40.0,281454,106.4,250000,29.4,38.7,270801,22.8,252223,74,49,81105,100,21103,-9999,-9999,-9999,120.3,6.8,230000,7.6,145.7,35.6,421.69,3.16,51200,0,30,28,13,0,30,13,10,7,3,0,0,9,0,4,18,8,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201107,466920,2011,7,1004.3,1005.0,1011.0,10719,996.3,181732,1011.7,10719,997.0,181732,29.7,24.1,-9999,37.7,241243,24.5,142021,34.6,26.5,8.1,10.5,80000,1.6,170,9.1,110.0,272342,17.5,90,272345,264.2,40.1,14.5,31601,41.5,131253,76.0,130000,30.1,39.1,160914,23.8,142002,73,44,81259,100,160703,-9999,-9999,-9999,142.5,9.4,280000,6.3,181.7,43.5,470.47,3.03,241200,0,31,31,12,0,31,14,12,8,4,0,0,10,0,13,18,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201108,466920,2011,8,1004.9,1005.6,1011.9,150946,993.0,291735,1012.6,150946,993.7,291735,29.6,24.1,-9999,37.5,181229,24.2,121642,34.7,26.4,8.3,12.2,70000,2.1,170,10.2,80.0,290823,21.4,80,290618,166.6,66.4,11.5,141551,35.0,141541,39.0,140000,30.1,39.6,91312,22.8,191502,73,39,191504,96,91241,-9999,-9999,-9999,140.0,7.7,10000,6.1,195.7,48.7,470.73,3.01,171200,0,31,31,15,0,31,17,16,6,1,1,0,11,0,12,19,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201109,466920,2011,9,1008.2,1008.9,1013.6,220823,1000.2,10256,1014.4,220823,1000.9,10256,27.6,21.7,-9999,35.6,291103,22.7,60526,31.7,25.1,6.5,9.8,170000,2.9,80,9.5,100.0,280819,21.3,120,280908,51.6,27.5,7.0,131520,18.0,131505,24.0,130000,26.3,36.9,131156,17.4,230330,71,48,171242,92,150720,-9999,-9999,-9999,116.2,5.4,100000,6.1,170.0,46.2,397.67,3.0,161300,0,26,24,3,0,30,9,7,2,0,0,3,1,0,14,12,4,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
201110,466920,2011,10,1014.3,1015.1,1020.4,252110,1008.8,141352,1021.2,252110,1009.5,141352,24.1,19.7,-9999,32.6,131133,19.5,252027,26.9,22.4,4.5,9.5,240000,3.1,80,8.6,80.0,11251,19.3,90,22022,92.6,143.8,6.5,131254,9.0,131250,26.5,10000,23.1,33.8,140958,15.9,182032,77,51,171127,99,41048,-9999,-9999,-9999,73.9,5.0,160000,8.6,53.3,15.2,218.29,2.4,231300,0,9,4,0,0,29,13,11,3,0,0,11,1,0,4,11,16,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999
