,月別,產品/業務,單營收(億),單佔比(%),單月增(%),單年增(%),累營收(億),累佔比(%),累年增(%)
0,2021/09,瓦斯收入,1.46,65.3,-11.8,-10.5,-,-,-
1,2021/09,裝置收入,0.451,20.1,-4.37,-37.7,-,-,-
2,2021/09,租金收入,0.232,10.3,-0.03,+1.87,-,-,-
3,2021/09,通信收入,0.0588,2.62,-4.38,-4.33,-,-,-
4,2021/09,器具收入,0.0282,1.26,+51.3,-2.66,-,-,-
5,2021/09,其他收入,0.01,0.44,-22.4,+2.26,-,-,-
6,2021/09,銷貨退回及折讓,0.0,0.0,-,-,-,-,-
7,2021/09,業務營收淨額,2.24,100.0,-8.66,-16.5,-,-,-
8,2021/08,瓦斯收入,1.66,67.6,+24.1,+1.73,-,-,-
9,2021/08,裝置收入,0.471,19.2,+21.9,+13.3,-,-,-
10,2021/08,租金收入,0.232,9.44,+1.07,+1.97,-,-,-
11,2021/08,通信收入,0.0614,2.5,-5.52,+8.44,-,-,-
12,2021/08,器具收入,0.0186,0.76,+64.1,-31,-,-,-
13,2021/08,其他收入,0.0128,0.52,+23,+46.9,-,-,-
14,2021/08,銷貨退回及折讓,0.0,0.0,-,-,-,-,-
15,2021/08,業務營收淨額,2.46,100.0,+20.4,+3.73,-,-,-
16,2021/07,瓦斯收入,1.34,65.5,-9.6,-20.4,-,-,-
17,2021/07,裝置收入,0.387,19.0,-16.6,-16.9,-,-,-
18,2021/07,租金收入,0.229,11.2,+1.65,-0.19,-,-,-
19,2021/07,通信收入,0.065,3.19,-5.9,+19.6,-,-,-
20,2021/07,器具收入,0.0114,0.56,-17.9,-53.7,-,-,-
21,2021/07,其他收入,0.0104,0.51,+17,-14.4,-,-,-
22,2021/07,銷貨退回及折讓,0.0,0.0,-,-,-,-,-
23,2021/07,業務營收淨額,2.04,100.0,-9.76,-17.3,-,-,-
24,2021/06,瓦斯收入,1.48,65.4,-,-14.7,-,-,-
25,2021/06,裝置收入,0.464,20.5,-,+3.2,-,-,-
26,2021/06,租金收入,0.226,9.98,-,-2.37,-,-,-
27,2021/06,通信收入,0.0691,3.06,-,+6.6,-,-,-
28,2021/06,器具收入,0.0138,0.61,-,-51.2,-,-,-
29,2021/06,其他收入,0.0089,0.39,-,+2.41,-,-,-
30,2021/06,銷貨退回及折讓,0.0,0.0,-,-,-,-,-
31,2021/06,業務營收淨額,2.26,100.0,-,-10.1,-,-,-
32,2021/05,無申報資料,,,,,,,
33,2021/04,瓦斯收入,2.06,73.1,-9.93,-17.5,8.66,72.2,-19.8
34,2021/04,裝置收入,0.425,15.1,-22.4,-4.26,2.03,16.9,-13.4
35,2021/04,租金收入,0.233,8.3,-1.59,+3.66,0.913,7.62,+1.2
36,2021/04,通信收入,0.0536,1.91,-8.79,-11.9,0.226,1.88,-5.06
37,2021/04,器具收入,0.0348,1.24,+28.2,+16.2,0.123,1.02,-11.7
38,2021/04,其他收入,0.0094,0.33,-5.06,+2.07,0.0409,0.34,-2.78
39,2021/04,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
40,2021/04,業務營收淨額,2.81,100.0,-11.1,-13.8,11.99,100,-17.1
41,2021/03,瓦斯收入,2.28,72.2,+14.8,-19.6,6.61,72,-20.5
42,2021/03,裝置收入,0.547,17.3,+0.45,-41.9,1.6,17.4,-15.5
