year,stno,month,PSmean,PSmin,PSmax,TXmean,TXmin,TXmax,RHmean,RHmin,RHmax,WD01mean,WD01min,WD01max,WD02mean,PPmsum,PPmax
2015,C0A9C0,10,1011.58387096774,1002.3,1020.0,25.5774193548387,19.9,33.4,76.9032258064516,49,100,1.85483870967742,0,5.4,85.1935483870968,59.5,4.0
2015,C0A9C0,11,1014.65,1009.1,1023.9,24.0933333333333,13.7,33.0,77.8,45,100,1.69333333333333,0,4.6,73.2,16.0,4.5
2015,C0A9C0,12,1017.80322580645,1007.5,1026.4,19.4258064516129,10.9,29.2,76.8387096774194,46,100,1.85483870967742,0,6.9,68.4516129032258,48.5,8.5
2016,C0A9C0,1,1017.83548387097,1004.8,1033.3,16.7129032258064,3.7,24.1,85.0,49,100,1.31935483870968,0,5.3,64.7741935483871,207.5,11.5
2016,C0A9C0,2,1019.38275862069,1007.3,1028.6,15.9275862068966,5.9,29.4,75.9655172413793,25,100,1.38275862068966,0,7.4,81.1724137931034,44.0,4.0
2016,C0A9C0,3,1015.2064516129,1006.5,1025.5,17.6516129032258,8.2,27.9,82.4193548387097,31,100,1.08709677419355,0,3.8,22.4516129032258,205.0,11.0
2016,C0A9C0,4,1008.84333333333,999.5,1017.2,24.2033333333333,17.6,32.0,86.1333333333333,45,100,1.11333333333333,0,4.4,93.9,182.0,37.0
2016,C0A9C0,5,1006.9064516129,1001.7,1012.5,27.1516129032258,18.9,35.2,81.9032258064516,51,100,1.20645161290323,0,6.5,58.1612903225806,129.0,19.0
2016,C0A9C0,6,1004.60666666667,997.7,1012.1,29.4166666666667,24.6,37.8,81.7,39,100,1.10333333333333,0,3.7,69.5333333333333,299.5,24.5
2016,C0A9C0,7,1003.52258064516,990.6,1008.9,30.3935483870968,25.2,36.9,76.3548387096774,40,100,1.48064516129032,0,6.6,75.0967741935484,136.5,32.0
2016,C0A9C0,8,1000.41935483871,996.4,1006.7,30.1612903225806,23.6,35.9,72.5483870967742,32,100,1.35483870967742,0,6.7,90.258064516129,86.5,20.0
2016,C0A9C0,9,1003.4,976.3,1012.9,27.7033333333333,23.1,35.1,80.8666666666667,43,100,1.89666666666667,0,9.7,57.1,537.5,25.5
2016,C0A9C0,10,1008.41935483871,1000.2,1020.7,26.9,21.1,33.8,81.1290322580645,40,100,1.95483870967742,0,5.2,76.258064516129,127.0,9.5
2016,C0A9C0,11,1014.23,1007.7,1021.4,22.41,18.3,31.9,76.1,40,100,1.71666666666667,0,5.7,61.4666666666667,94.0,7.0
2016,C0A9C0,12,1016.7,1009.5,1026.1,19.9870967741935,12.0,29.2,65.6451612903226,30,100,2.23548387096774,0,6.8,93.9677419354839,5.0,2.0
2017,C0A9C0,1,1017.31612903226,1007.1,1027.0,18.0709677419355,11.3,26.2,66.4838709677419,35,100,2.14516129032258,0,7.7,57.2903225806452,11.0,2.0
2017,C0A9C0,2,1017.91071428571,1009.3,1028.3,16.6714285714286,8.5,26.2,63.0769230769231,11,99,1.96428571428571,0,7.2,63.0714285714286,83.5,7.5
2017,C0A9C0,3,1013.99032258065,1006.8,1022.0,18.0838709677419,11.7,26.9,74.6129032258064,40,96,1.55483870967742,0,5.7,54.3548387096774,132.5,6.0
2017,C0A9C0,4,1010.08666666667,999.6,1021.5,22.2366666666667,10.4,33.1,70.4333333333333,22,94,1.31,0,5.4,58.6333333333333,84.5,9.0
2017,C0A9C0,5,1006.9935483871,999.0,1013.6,25.5548387096774,18.9,32.4,74.5483870967742,36,95,1.37741935483871,0,4.9,42.258064516129,129.0,16.5
2017,C0A9C0,6,1003.66,995.6,1008.2,27.9066666666667,22.4,34.6,78.8333333333333,48,97,1.04333333333333,0,4.6,73.4333333333333,698.5,72.0
2017,C0A9C0,7,1003.93870967742,978.7,1010.0,29.9806451612903,24.5,36.1,70.5806451612903,39,93,1.34193548387097,0,9.0,71.8709677419355,142.5,23.5
2017,C0A9C0,8,1002.87096774194,994.7,1009.6,30.7193548387097,25.4,36.4,67.5483870967742,41,93,1.59354838709677,0,5.2,128.258064516129,39.5,11.0
2017,C0A9C0,9,1005.53666666667,999.9,1012.1,29.0366666666667,22.8,35.6,71.3666666666667,39,95,1.37,0,4.5,74.3,150.0,19.5
2017,C0A9C0,10,1009.77741935484,999.8,1022.1,25.3612903225806,16.9,34.9,73.4516129032258,48,95,1.90322580645161,0,5.0,85.1935483870968,305.0,21.0
