year,stno,month,PSmean,PSmin,PSmax,TXmean,TXmin,TXmax,RHmean,RHmin,RHmax,WD01mean,WD01min,WD01max,WD02mean,PPmsum,PPmax
2011,C0A9E0,1,1020.15161290323,1012.4,1027.4,14.0193548387097,7.9,20.6,79.258064516129,52,98,0.983870967741935,0.0,4.0,47.258064516129,47.0,2.5
2011,C0A9E0,2,1015.43214285714,1005.2,1023.5,16.6285714285714,9.8,26.6,79.6071428571429,40,100,0.875,0.0,3.7,44.8214285714286,53.0,7.0
2011,C0A9E0,3,1018.23225806452,1007.5,1024.9,16.0870967741935,10.2,29.1,75.1290322580645,27,100,1.14193548387097,0.0,4.1,74.8064516129032,87.5,6.0
2011,C0A9E0,4,1012.74285714286,1003.0,1020.5,21.3357142857143,14.0,32.4,70.1428571428571,12,100,1.09642857142857,0.0,5.1,17.1428571428571,39.5,12.5
2011,C0A9E0,5,1007.7,1006.3,1009.3,26.75,23.8,31.9,78.5,55,96,0.9,0.0,3.5,0.0,222.5,23.0
2011,C0A9E0,6,1004.64666666667,990.3,1010.1,29.13,23.9,35.4,75.7,48,100,1.19666666666667,0.0,6.2,31.0666666666667,291.5,34.5
2011,C0A9E0,7,1003.48,995.7,1010.2,29.7366666666667,24.5,36.4,74.6666666666667,46,98,1.22,0.0,6.7,34.7333333333333,71.0,15.0
2011,C0A9E0,8,1004.10967741935,992.7,1011.4,29.7129032258065,25.6,36.1,74.3548387096774,39,95,1.23548387096774,0.0,4.8,47.0967741935484,147.0,21.0
2011,C0A9E0,9,1006.68,999.5,1011.8,28.495,23.6,34.2,69.9,45,93,0.965,0.0,4.4,20.2,14.0,4.5
2011,C0A9E0,10,1013.34,1008.1,1019.0,24.4633333333333,20.4,30.8,76.2,49,100,1.16,0.0,4.2,39.1,53.0,4.5
2011,C0A9E0,11,1014.28666666667,1007.1,1024.8,23.58,18.4,33.1,79.2666666666667,49,99,1.00333333333333,0.0,4.0,44.2333333333333,184.5,11.5
2011,C0A9E0,12,1019.54516129032,1012.3,1026.3,17.5677419354839,12.2,30.9,78.0967741935484,50,99,1.05806451612903,0.0,4.3,51.5161290322581,98.5,8.5
2012,C0A9E0,1,1017.73870967742,1006.6,1027.2,16.3967741935484,9.5,25.5,82.4838709677419,46,99,0.935483870967742,0.0,4.8,38.9032258064516,114.5,7.0
2012,C0A9E0,2,1015.98275862069,1005.8,1024.3,16.6034482758621,10.2,27.0,85.0689655172414,49,99,0.948275862068966,0.0,3.9,38.0689655172414,219.0,11.0
2012,C0A9E0,3,1015.06129032258,1006.5,1022.4,18.6129032258065,10.8,29.4,79.258064516129,30,99,1.17096774193548,0.0,4.7,77.1290322580645,67.0,5.0
2012,C0A9E0,4,1010.65333333333,1002.7,1019.8,23.4433333333333,17.3,33.5,76.4,39,100,1.09666666666667,0.0,4.6,123.166666666667,383.0,54.5
2012,C0A9E0,5,1006.68064516129,1002.1,1011.2,26.3387096774194,20.0,34.1,72.741935483871,29,100,1.10645161290323,0.0,4.5,155.709677419355,244.0,41.5
2012,C0A9E0,6,1002.12,994.5,1009.2,28.2266666666667,23.5,34.7,78.7142857142857,50,100,0.973333333333333,0.0,5.7,153.933333333333,530.5,52.5
2012,C0A9E0,7,1003.50967741935,992.3,1009.7,30.8290322580645,25.7,37.0,67.0967741935484,39,95,1.22903225806452,0.1,4.1,194.290322580645,85.5,15.5
2012,C0A9E0,8,1000.74838709677,981.9,1009.1,29.5032258064516,25.4,36.6,74.741935483871,42,100,1.21935483870968,0.0,10.3,139.483870967742,445.0,22.5
2012,C0A9E0,9,1008.35333333333,1001.7,1014.6,27.8166666666667,19.3,34.8,68.5333333333333,43,97,0.933333333333333,0.1,6.7,116.2,81.0,20.0
2012,C0A9E0,10,1012.82903225806,1006.9,1018.3,24.4322580645161,19.2,30.4,66.3870967741936,40,100,0.780645161290323,0.0,2.7,69.1935483870968,59.5,5.0
2012,C0A9E0,11,1014.06896551724,1006.9,1019.0,21.5766666666667,14.0,30.4,77.2333333333333,46,100,0.776666666666667,0.0,2.9,108.9,211.5,18.5
