Year,Consumption(year)
2021,561
2022,563
2023,561
2024,568
2025,549
2026,549
2027,552
2028,563
2029,563
2030,555
2031,559
2032,559
2033,547
2034,548
2035,555
2036,555
2037,563
2038,569
2039,561
2040,556
2041,558
2042,548
2043,552
2044,564
2045,545
2046,545
2047,560
2048,559
2049,536
2050,557
2051,545
2052,559
2053,554
2054,558
2055,544
2056,565
2057,548
2058,558
2059,541
2060,550
2061,550
2062,550
2063,555
2064,548
2065,553
2066,551
2067,554
2068,567
2069,563
2070,549
2071,552
2072,552
2073,541
2074,558
2075,550
2076,564
2077,543
2078,546
2079,556
2080,547
2081,560
2082,566
2083,557
2084,568
2085,560
2086,561
2087,552
2088,556
2089,553
2090,552
2091,561
2092,561
2093,561
2094,568
2095,556
2096,562
2097,558
2098,559
2099,551
2099,551
