Year,Consumption(year)
2021,220447045
2022,221477732
2023,220653861
2024,222838068
2025,215682202
2026,215850846
2027,216760278
2028,220784845
2029,221509713
2030,217966995
2031,219513050
2032,219435747
2033,214842913
2034,215303475
2035,218093549
2036,217632154
2037,221486559
2038,223868448
2039,220752230
2040,218182346
2041,218770001
2042,215575016
2043,216414110
2044,220933990
2045,214258346
2046,214229788
2047,219839970
2048,219585349
2049,209791822
2050,218020395
2051,214355188
2052,219041179
2053,217579699
2054,218906328
2055,213882869
2056,221177173
2057,214729583
2058,218772882
2059,213170600
2060,216097695
2061,216529953
2062,215460754
2063,217714389
2064,215323537
2065,216884282
2066,216132326
2067,217787156
2068,222609620
2069,220951498
2070,214766530
2071,217508227
2072,217189365
2073,212673822
2074,218683253
2075,215559892
2076,221369848
2077,213778562
2078,214428806
2079,219077875
2080,214887355
2081,219954749
2082,221926806
2083,219347743
2084,222144988
2085,219634147
2086,220261715
2087,216433168
2088,218635510
2089,216924642
2090,215765143
2091,220297363
2092,220503242
2093,220619949
2094,222346789
2095,217987633
2096,220672149
2097,218957306
2098,218905968
2099,216688595
2099,216688595
