Date,Temp,consumption,Month
202101,16.66003636,21837533,1
202102,17.71549091,21328230,2
202103,17.61702727,21375743,3
202104,22.38625455,19074386,4
202105,27.57227273,16571909,5
202106,29.77140909,15510731,6
202107,31.19778182,14822445,7
202108,29.34785455,15715114,8
202109,28.79196364,15983355,9
202110,24.89357273,17864497,10
202111,22.38625455,19074386,11
202112,19.9161,20266342,12
202201,17.52217273,21421515,1
202202,17.39244545,21484114,2
202203,18.38040909,21007379,3
202204,22.46979091,19034076,4
202205,26.12838182,17268648,5
202206,30.13799091,15333839,6
202207,30.39210909,15211216,7
202208,30.44514545,15185624,8
202209,28.04231818,16345092,9
202210,24.20947273,18194605,10
202211,22.17165455,19177940,11
202212,17.61101818,21378643,12
202301,16.45677273,21935616,1
202302,17.3873,21486597,2
202303,18.3057,21043429,3
202304,24.87504545,17873437,4
202305,28.78815455,15985193,5
202306,29.63818182,15575019,6
202307,30.57404545,15123424,7
202308,31.47142727,14690399,8
202309,29.28857273,15743720,9
202310,25.91875455,17369802,10
202311,23.92498182,18331884,11
202312,18.2179,21085796,12
202401,16.25873636,22031177,1
202402,19.47884545,20477336,2
202403,19.19258182,20615470,3
202404,22.68178182,18931781,4
202405,25.49761818,17573019,5
202406,29.21745455,15778038,6
202407,29.95174545,15423711,7
202408,29.3914,15694102,8
202409,28.73804545,16009373,9
202410,25.46741818,17587592,10
202411,20.99398182,19746217,11
202412,17.88559091,21246150,12
202501,16.77721818,21780987,1
202502,14.89673636,22688401,2
202503,19.10687273,20656829,3
202504,21.00628182,19740282,4
202505,24.36121818,18121381,5
202506,28.39771818,16173596,6
202507,30.27311818,15268635,7
202508,30.76001818,15033684,8
202509,28.89537273,15933456,9
202510,24.45857273,18074403,10
202511,22.05232727,19235520,11
202512,17.07589091,21636865,12
202601,16.50216364,21913713,1
202602,16.28457273,22018710,2
202603,19.65123636,20394150,3
202604,23.63218182,18473172,4
202605,28.13358182,16301053,5
202606,29.35892727,15709771,6
202607,30.42045455,15197538,7
202608,30.14639091,15329786,8
202609,28.91803636,15922520,9
202610,24.3519,18125877,10
202611,21.89530909,19311288,11
202612,18.54939091,20925838,12
202701,16.10823636,22103800,1
202702,17.59683636,21385486,2
202703,19.08910909,20665400,3
202704,23.16026364,18700893,4
202705,27.06406364,16817142,5
202706,29.57555455,15605239,6
202707,29.85973636,15468109,7
202708,30.90351818,14964439,8
202709,29.41343636,15683468,9
202710,26.70678182,16989545,10
202711,23.48234545,18545475,11
202712,20.96800909,19758750,12
202801,19.19344545,20615054,1
202802,18.86812727,20772034,2
202803,23.15423636,18703802,3
202804,23.11804545,18721265,4
202805,26.07928182,17292341,5
202806,30.52908182,15145121,6
202807,30.93897273,14947331,7
202808,30.39725455,15208733,8
202809,29.24343636,15765500,9
202810,24.61193636,18000399,10
202811,19.92280909,20263104,11
202812,19.14570909,20638089,12
202901,18.06731818,21158459,1
202902,15.14651818,22567870,2
202903,18.19056364,21098987,3
202904,21.69257273,19409117,4
202905,26.02070909,17320605,5
202906,30.04299091,15379681,6
202907,31.10087273,14869207,7
202908,31.36910909,14739772,8
202909,28.50944545,16119683,9
202910,25.71149091,17469816,10
202911,23.75624545,18413306,11
202912,18.70129091,20852539,12
203001,18.89870909,20757277,1
203002,20.66400909,19905443,2
203003,22.62945455,18957031,3
203004,24.21419091,18192328,4
203005,28.22532727,16256782,5
203006,28.80331818,15977876,6
203007,31.13985455,14850397,7
203008,30.63429091,15094353,8
203009,30.27054545,15269876,9
203010,24.93259091,17845669,10
203011,21.31889091,19589435,11
203012,19.23818182,20593466,12
203101,18.39555455,21000070,1
203102,19.50553636,20464456,2
203103,19.99183636,20229796,3
203104,25.40508182,17617672,4
203105,26.23162727,17218828,5
203106,29.815,15489696,6
203107,31.24596364,14799195,7
203108,31.97866364,14445635,8
203109,29.85901818,15468456,9
203110,24.91575455,17853793,10
203111,23.25865455,18653415,11
203112,18.42492727,20985897,12
203201,18.04910909,21167245,1
203202,16.40232727,21961888,2
203203,17.57166364,21397633,3
203204,21.66817273,19420891,4
203205,25.91543636,17371404,5
203206,29.29794545,15739197,6
203207,30.99988182,14917940,7
203208,31.94397273,14462375,8
203209,29.06161818,15853235,9
203210,26.78114545,16953662,10
203211,20.84850909,19816414,11
203212,18.23216364,21078914,12
203301,19.01904545,20699209,1
203302,18.04972727,21166947,2
203303,18.85340909,20779136,3
203304,23.4216,18574787,4
203305,28.31116364,16215362,5
203306,30.49687273,15160663,6
203307,31.3909,14729257,7
203308,30.39917273,15207808,8
203309,29.25892727,15758025,9
203310,24.94043636,17841883,10
203311,23.48053636,18546348,11
203312,18.52509091,20937564,12
203401,17.10152727,21624494,1
203402,18.39917273,20998324,2
203403,19.90022727,20274001,3
203404,23.12892727,18716014,4
203405,27.32267273,16692352,5
203406,29.6406,15573852,6
203407,31.22764545,14808034,7
203408,31.94784545,14460507,8
203409,28.47067273,16138392,9
