Data,Consumption(m^3),Month,RH-mean,TX-mean,WD-mean,RT-mean,S(1)/W(0)
2013/12/1,22849793.26,12,64.375,17.50833333,1.604166667,17.03610498,0
2013/2/1,18438538.21,2,82.59821429,18.67410714,1.658035714,19.1893443,0
2013/3/1,19946651.16,3,77.38709677,19.75806452,1.523387097,20.42882258,0
2013/6/1,13675998.72,6,74.11666667,29.25916667,1.108333333,33.0131209,1
2013/7/1,14670501.76,7,70.44354839,29.72016129,1.097580645,33.34715787,1
2013/8/1,15324640.46,8,72.95967742,29.59677419,1.175806452,33.33024929,1
2013/9/1,14287104.51,9,71.56206897,27.92316092,1.934827586,30.44148641,1
2014/1/1,21449188.93,1,64.36290323,16.76612903,1.573387097,16.16895375,0
2014/12/1,23281369.48,12,69.41129032,16.39919355,1.783064516,15.79359806,0
2014/2/1,19863205.49,2,77.41964286,16.42321429,1.4375,16.33680477,0
2014/3/1,21056396.15,3,74.16129032,18.79516129,1.512096774,19.09989825,0
2014/6/1,14570387.82,6,80.59166667,27.93833333,1.105,31.69212812,1
2014/7/1,15051641,7,70.46774194,30.53870968,1.479032258,34.25076117,1
2014/8/1,14825944.94,8,70.58064516,30.15564516,1.139516129,33.9404303,1
2014/9/1,13711855.35,9,70.28333333,29.66,1.676666667,32.87353238,1
2015/1/1,21995332.56,1,67.60483871,16.54435484,1.681451613,15.95179283,0
2015/12/1,21623731.46,12,77.34193548,18.90258065,1.681935484,19.25058888,0
2015/2/1,20802005.01,2,74.15178571,17.075,1.411607143,17.03106505,0
2015/3/1,21929824.56,3,80.65016685,18.90753615,1.371510011,19.60365504,0
2015/6/1,15704225.35,6,72.37966401,30.19090849,1.07280504,34.18529301,1
2015/7/1,15985915.49,7,69.99193548,30.12903226,1.332258065,33.7132747,1
2015/8/1,16198704.1,8,76.11290323,28.67419355,1.464516129,32.12450662,1
2015/9/1,16090225.56,9,73.64166667,27.4575,1.351666667,30.34645008,1
2016/1/1,23028883.68,1,83.94193548,16.2083871,1.266451613,16.43931595,0
2016/12/1,20201173.51,12,72.84946237,19.6516129,2.038709677,19.74425947,0
2016/2/1,22731128.07,2,77.13793103,15.39270936,1.396551724,15.094537,0
2016/3/1,23722943.72,3,79.90322581,17.45476129,1.168387097,17.87830783,0
2016/6/1,16072980.02,6,76.50666667,29.29066667,1.028666667,33.29871704,1
2016/7/1,16580310.88,7,73.80286738,29.77616487,1.405376344,33.51306312,1
2016/8/1,15879828.33,8,71.08243728,29.55820789,1.2559319,33.08510084,1
2016/9/1,15443686.01,9,79.6,27.31666667,1.785,30.30633779,1
2017/1/1,21083333.33,1,75.98924731,17.77258065,1.958602151,17.60006909,0
2017/12/1,21455085.37,12,76.02304147,17.30875576,2.138018433,16.90639825,0
2017/2/1,20132560.07,2,71.30448718,16.43392857,1.916071429,15.80661273,0
2017/3/1,22899505.77,3,78.40483871,17.73429057,1.457849462,17.97129804,0
2017/6/1,17249602.54,6,79.15035792,27.65349206,1.078835979,31.20158764,1
2017/7/1,16096423.02,7,70.02764977,29.84239631,1.278878648,33.36142102,1
2017/8/1,15552099.53,8,69.23936026,30.52534562,1.444086022,34.13309039,1
2017/9/1,15241057.54,9,72.96666667,28.82285714,1.430582011,32.10026047,1
2018/1/1,22272727.27,1,79.42396313,16.26774194,2.043576037,15.82147661,0
2018/12/1,20441988.95,12,77.88479263,18.92580645,1.941935484,19.11475661,0
2018/2/1,21969696.97,2,80.68877551,14.92959184,1.500510204,14.58368316,0
2018/3/1,21893939.39,3,71.89400922,19.75760369,1.504608295,20.17441989,0
2018/6/1,16605705.93,6,75.08571429,27.87285714,1.49,30.92089064,1
2018/7/1,16642547.03,7,70.14746544,29.53502304,1.725472747,32.65143581,1
2018/8/1,16183745.58,8,75.94470046,28.80875576,1.241013825,32.44164258,1
2018/9/1,15971731.45,9,73.72857143,27.58380952,1.624761905,30.34453207,1
2019/1/1,21982467.97,1,77.91705069,17.87557604,1.939170507,17.82031117,0
2019/12/1,21786833.86,12,76.640553,18.48986175,1.825806452,18.5877574,0
2019/2/1,19352663.52,2,82.15306122,18.09030612,1.699489796,18.4056108,0
2019/3/1,22514812.38,3,77.11981567,19.13456221,1.725345622,19.48885243,0
2019/6/1,17050691.24,6,74.64285714,27.97055829,1.175714286,31.24386856,1
2019/7/1,16610625.42,7,72.15207373,29.759447,1.3359447,33.37591005,1
2019/8/1,15909090.91,8,71.53729305,29.80875576,1.807834101,33.07826146,1
2019/9/1,16367552.05,9,76.47619048,26.68904762,1.692857143,29.27829549,1
2020/1/1,21786833.86,1,75.99539171,17.2843318,1.61797235,17.21309387,0
2020/12/1,22145669.29,12,83.61290323,18.01209677,1.642741935,18.422437,0
2020/2/1,21081504.7,2,74.26125968,17.98956721,1.611312456,18.01599921,0
2020/3/1,22257053.29,3,76.73271889,20.06267281,1.573732719,20.72791162,0
2020/6/1,16539196.94,6,69.83333333,29.83761905,1.234285714,33.34529961,1
2020/7/1,16783216.78,7,70.08294931,30.28479263,1.262672811,33.95600572,1
2020/8/1,16632653.06,8,71.89477727,29.54512289,1.378725038,33.01634836,1
2020/9/1,16734693.88,9,75.31904762,26.3452381,1.166666667,29.08714288,1
